,title,company,rating,CITY,state,salary_year_mean
32,"Data Scientist, LTV",Time Warner,3.8,Los Angeles,CA,
33,Data Scientist,Moorecroft Systems,,Remote,REMOTE,
34,Data Scientist,kraken,3.9,Remote,REMOTE,
35,Vitria Data Scientist,Vitria Technology,3.3,Menlo Park,CA,
36,Data Scientist - Podcasts (Remote Eligible - Americas),Spotify,4.3,New York,NY,
37,Junior Data Scientist,Lull,2.6,Remote,REMOTE,
38,Full Time Opportunities for Students & Recent Graduates - MA...,Microsoft,4.2,Cambridge,MA,
39,Data Scientist,"The Launchpad Group, Inc.",,Winter Park,FL,48750.0
40,Data Scientist,"iHeartMedia, Inc.",3.6,San Antonio,TX,
41,Senior Data Scientist,Spin Electric Scooters,3.0,San Francisco,CA,
42,"Data Scientist, Analytics",Facebook,4.2,Los Angeles,CA,
43,Lead Data Scientist,TRANZACT,2.6,United States,UNITED,157500.0
44,Data Scientist,HP,4.0,Boise,ID,
45,Data Scientist (all levels),Cascade Data Labs,,Portland,OR,112500.0
46,Senior Data Scientist,Spin Electric Scooters,3.0,San Francisco,CA,
47,Data Scientist,Moorecroft Systems,,Remote,REMOTE,
48,Data Scientist,"Evozyne, LLC",,Chicago,IL,100000.0
49,"Data Scientist, Junior",FEDDATA,4.3,Columbia,MD,
50,Applied Data Scientist,Snapchat,3.5,Los Angeles,CA,
51,Data Scientist,Intel,4.1,Hillsboro,OR,
52,Data Scientist- COR,Houston Methodist,4.2,Houston,TX,
53,Data Scientist,Luxoft,4.4,Plano,TX,
54,Sr. Data Scientist,Victory Capital Management,3.4,San Antonio,TX,
55,Data Scientist,Wunderman Thompson,4.0,Denver,CO,140000.0
56,Data Scientist,choozle.com,,Denver,CO,
57,Data Scientist,Concentric Corp.,,Omaha,NE,
58,Data Scientist,Central Intelligence Agency,4.3,Washington,DC,121325.0
59,Deep Learning ML Data Scientist,Intel,4.1,Hillsboro,OR,
60,Senior Data Scientist,One Drop,,Austin,TX,
61,"Data Scientist, Junior",FEDDATA,4.3,Columbia,MD,
62,Data Scientist,Home Chef,3.1,Chicago,IL,
63,Data Scientist,choozle.com,,Denver,CO,
64,Deep Learning ML Data Scientist,Intel,4.1,Hillsboro,OR,
65,"Data Scientist, Growth - Location Flexible",Dropbox,3.9,California,CA,
66,Data Scientist,Concentric Corp.,,Omaha,NE,
67,Data Scientist,Elutions,3.3,Delafield,WI,
68,Statistician (Data Scientist) *12 month Roster* *Direct Hire...,US Department of the Treasury,4.0,Birmingham,AL,117953.5
69,Data Scientist,Garner Health,,Remote,REMOTE,
70,Data Scientist,Cognizant Technology Solutions,3.9,Torrance,CA,
71,Data Scientist,Prudential,3.9,Newark,NJ,
72,Data Scientist,Infosys Limited,3.9,Atlanta,GA,
73,Data Scientist,"iHeartMedia, Inc.",3.6,San Antonio,TX,
74,Senior-Data Scientist,AT&T,3.7,Plano,TX,
75,"Senior Data Scientist, Risk and Fraud",Eventbrite,4.1,Nashville,TN,
76,Data Scientist,Eleks,,Chicago,IL,
77,"Data Scientist - Experimentation, Remote Contract Position",Getty Images,3.9,San Francisco,CA,
78,Sr. Data Scientist with Python and Machining Learning,Simplex Info,,Remote,REMOTE,159452.0
79,Data Scientist,ASSURANCE,3.2,Seattle,WA,
80,"Entry-Level Data Positions (Data Engineer, Machine Learning...",Citi,3.9,Irving,TX,
